id,pass,date,reviewer,surface,component,lifecycle_stage,category,severity,title,user_comment,orchestrator_take,observed,expected,evidence,value,effort,framework_anchor,kano,rice_score,moscow,downstream_target,linked_plan,linked_commit,status
UXL-008,1,2026-04-22,orchestrator,meta,knowledge-base,evaluation,drift,MINOR,workflow-processflow.md UTF-16→UTF-8 + nested Windows-1252 mojibake,"Discovered during Phase 1 plan research (2026-04-22): `skills/plan-implementation/references/workflow-processflow.md` is UTF-16 encoded, rendering as spaced characters when read. Identical failure mode as HydroCast `USGS_WPI/usgs_data_categories.md` fixed in Session 33. Belongs in `knowledge/reference/` (per folder semantics) AND needs UTF-16→UTF-8 conversion during relocation. This row exists as the first self-application proof that the tracker captures real CAB-internal drift — not just external observations. Phase 2.6 execution surfaced additional defect: nested Windows-1252 smart-quote bytes (0x93/0x94) survived iconv UTF-16LE→UTF-8 conversion and now render as mojibake (ô, ö) in `knowledge/reference/workflow-processflow.md`. Remediation scope: two-pass encoding fix (UTF-16→UTF-8, then Win1252-byte-repair) OR re-source from original HTML.","First self-application proof: tracker captures real CAB-internal drift. Phase 2.6 applied UTF-16LE→UTF-8 but surfaced second-layer defect (Win1252 smart quotes embedded in UTF-16LE source) that survived conversion. Documented in file's frontmatter KNOWN DEFECT marker. Remediation: two-pass fix or re-source. → RESOLVED: Two-pass mojibake fix applied: U+00F4â†’U+201C and U+00F6â†’U+201D (quote
pair, 4 instances); U+00C6â†’U+2019 (apostrophe, 1 instance); stray HTML
brace removed. KNOWN DEFECT marker cleared from frontmatter, confidence
bumped Câ†’B. Commit 30ae167.",,,knowledge/reference/workflow-processflow.md (see frontmatter KNOWN DEFECT); commit 537b511,L,L,DP3;LL-10,,,,followup,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-008,30ae167,resolved
UXL-011,1,2026-04-22,orchestrator,integration,hooks,requirements,gap,MAJOR,Extend /sync-check for plugin↔global agent name-collision detection,**LL-27 follow-on: Extend `/sync-check` for plugin↔global name-collision detection** — Current sync-check detects file differences but not the precedence-shadow case where both files exist with the same agent name. Add agent-name-collision scan between `~/.claude/agents/*.md` and all enabled plugins' `agents/*.md`. Emit WARN for collisions regardless of content delta. Highest-priority LL-27 enforcement layer.,"Highest-priority LL-27 enforcement layer. Currently manual detection; programmatic scan is tractable. → RESOLVED: Extended commands/sync-check.md with plugin-shadow detection (Behavior step 3 + SHADOW DETECTED report section + byte-identical-vs-diverged remediation recommendations + --shadow-only flag + LL-27 cross-ref). Scope contained: declarative-command edit, no new backing script. Logic manually validated against current state (no shadows — clean LL-27 post-fix state). Commit 2185da9. Follow-on candidate: extract to hooks/scripts/sync-check-shadow.sh if pattern matures + couples to UXL-012/013. Not deploying to ~/.claude/commands/ — global deploy of CAB-owned commands creates the exact shadow risk this fix detects; user invokes via /cab:sync-check instead.",,,notes/TODO.md:69; LL-27,H,L,DP7;LL-27,,,,skill,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-011,2185da9,resolved
UXL-012,1,2026-04-22,orchestrator,meta,knowledge-base,requirements,gap,MINOR,New KB card: multi-agent/agent-resolution.md,"**LL-27 follow-on: New KB card `knowledge/operational-patterns/multi-agent/agent-resolution.md`** — Document the local → user → plugin precedence order explicitly, shadowing failure mode, detection patterns, corrective patterns. Currently implicit across multiple LLs.","Documents local→user→plugin precedence + shadowing failure modes. Implicit across multiple LLs; explicit KB card reduces future LL-27-style incidents. → RESOLVED: KB card authored at knowledge/operational-patterns/multi-agent/agent-resolution.md (184 lines). Covers precedence table (local→user→plugin), LL-27 mechanism, 3 detection surfaces (sync-check, audit, candidate pre-push), 3 remediation patterns (byte-identical / diverged-unintentional / diverged-intentional-with-documented-override), anti-patterns. Commit a9796fa.",,,notes/TODO.md:70; LL-27,M,L,DP3;LL-27,,,,KB,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-012,a9796fa,resolved
UXL-013,1,2026-04-22,orchestrator,meta,audit-methodology,evaluation,gap,MINOR,Add shadow-check to /validate --cab-audit methodology,**LL-27 follow-on: Add shadow-check to `/validate --cab-audit` methodology** — Audit skill should enumerate all plugin agents and check for any same-named file at higher-precedence layers. Fold into the agent dimension scoring.,Audit skill enumeration step + higher-precedence layer scan. Fold into agent dimension scoring. → RESOLVED: Shadow scan folded into /validate --cab-audit Agent Frontmatter dimension. agent-standards.md criterion 15 added + Scoring Guide shadow-gate (EXEMPLARY blocked by unresolved shadows regardless of per-file quality). audit-workspace SKILL.md updated with mandatory shadow-scan step + cross-ref to agent-resolution.md. Completes LL-27 enforcement trio (UXL-011 primitive → UXL-012 spec → UXL-013 audit integration). Commit e985760.,,,notes/TODO.md:71; LL-27; skills/audit-workspace,M,L,DP7;LL-27,,,,skill,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-013,e985760,resolved
UXL-018,1,2026-04-22,orchestrator,meta,state-management,evaluation,gap,MAJOR,Bootstrap token cost tracking + soft budget ceiling,"**LL-28 follow-on: Bootstrap token cost tracking** — Per user directive (Session 27), every new protocol layer expands the cold-anchor cost. Add a standing measurement: record `bootstrap_tokens` consumed at Session start in `progress.md` header. Set a soft budget ceiling (e.g., 15% of context window) beyond which bootstrap optimization takes priority over new protocol additions. Starting data point: Session 27 bootstrap + investigation + LL drafting consumed ~70K tokens before answering the actual pending question; remaining budget 22% at state-refresh time.

[User follow-up directive 2026-04-22 — shaped UXL-018 execution scope]: ""just want to make another friendly reminder the limits are soft not prescriptions; final decision should be adaptively resorted to the agentic reasoning based on the specific user/project request and domain context (e.g. one of the classic worst-case scenario of blindly automating this away will be agents (and the human users influenced by them) resorting to compact contents unnecessarily when the specific in-series sessions or phased task(s) at hand require detailed transfers for example).""","Standing measurement in progress.md header; soft ceiling (~15% budget). Supports LL-29 work. Data point: Session 27 consumed ~70K bootstrap tokens. → RESOLVED: Spec added to bootstrap-read-pattern.md §Budget Ceiling (soft signal framing + user directive verbatim + anti-pattern against mechanical compaction). progress.md Session header convention updated; Session 35 now exemplifies format. bootstrap-cost.sh already existed (Session 28-32 efficiency task) — UXL-018 scope narrowed to wiring + philosophy, NOT adding new measurement tooling. Commit d1a0b23.",,,notes/TODO.md:76; LL-28; LL-29; bootstrap-cost.sh,H,L,DP1;LL-28;LL-29,,,,rule,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-018,d1a0b23,resolved
UXL-019,1,2026-04-22,orchestrator,meta,state-management,requirements,gap,MINOR,Reversibility inventory: protocol → commit → revert,"**LL-28 follow-on: Reversibility inventory** — Per user directive, every state-mgmt protocol addition must be individually revertable. Maintain an inventory table in `filesystem-patterns.md` mapping protocol → commit hash → revert command. LL-25 = `302f872`, LL-26 = `62bf4a9`, LL-27 = `436ffbd`, LL-28 candidate = TBD. This makes rollback a one-liner if any layer proves counterproductive.","Table in filesystem-patterns.md. Prerequisite for safely adding new state-mgmt layers without rollback risk. → RESOLVED: Reversibility inventory added to filesystem-patterns.md with 13 rows
(12 landed protocols + 1 LL-28 candidate placeholder). Append convention
documented. Commit 1f19b19.",,,notes/TODO.md:77; LL-28,M,L,DP4;LL-28,,,,KB,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-019,1f19b19,resolved
UXL-020,1,2026-04-22,orchestrator,integration,plugin-schema,requirements,gap,MINOR,LL-25 — RAS-exec tracked-notes policy propagation,"**LL-25 follow-on: RAS-exec policy propagation** — Apply tracked-notes policy to RAS-exec plugin (documentation update + verify `.gitignore` alignment). Low risk, already tracking notes on feat branches.","Low-risk doc alignment; RAS-exec already tracks on feat branches. → RESOLVED: CAB-side deliverable complete: concrete .gitignore + CLAUDE.md patch
produced at notes/ll-25-propagation-status-2026-04-22.md with apply
instructions. Physical application happens in RAS-exec session (outside
CAB working dir). If apply surfaces issues, new UXL row will track.
Commit 8f84a3a.",,,notes/TODO.md:78; LL-25,L,L,DP3;LL-25,,,,followup,notes/ll-25-propagation-status-2026-04-22.md,8f84a3a,resolved
UXL-021,1,2026-04-22,orchestrator,integration,plugin-schema,requirements,gap,MINOR,LL-25 — HydroCast tracked-notes policy propagation,**LL-25 follow-on: HydroCast policy propagation** — Same as RAS-exec. HydroCast already tracks notes on feat branches; just needs documentation alignment.,"Low-risk doc alignment mirror of UXL-020. → RESOLVED: NO-OP close. Gap analysis verified HydroCast already LL-25 aligned:
.gitignore has _archive/ pattern + CLAUDE.md lines 68-84 document
tracked-by-default notes model extensively. No propagation work needed.
Commit 8f84a3a (artifact only, evidence). [2026-04-23 annotation]: Scope was narrow (LL-25 tracked-notes policy only) and resolved correctly within that scope. Broader HydroCast state-mgmt alignment (bootstrap-read-pattern, hook presence, T1 conventions, LL classification, kb-conventions, memory-layer adoption, UX-log tracker pattern backport, prioritization-frameworks adoption) lives in UXL-036 (Wave 10, deferred until post-Wave-5/6 to avoid re-alignment work).",,,notes/TODO.md:79; LL-25,L,L,DP3;LL-25,,,,followup,notes/ll-25-propagation-status-2026-04-22.md,8f84a3a,resolved
UXL-022,1,2026-04-22,orchestrator,meta,knowledge-base,requirements,gap,MINOR,LL-25 — CC Memory Layer Alignment deep-dive KB card,**LL-25 follow-on: CC Memory Layer Alignment deep dive** — Potential new KB card `knowledge/operational-patterns/state-management/cc-memory-layer-alignment.md` covering the full 7-layer ↔ CAB mapping. Currently summarized in filesystem-patterns.md; may warrant dedicated reference.,"Couples directly to UXL-007 (memory-layer alignment question — answered post docs refresh). Authoritative spec per 2026-04-22 docs: two memory systems (CLAUDE.md + auto memory) at main-agent level; subagent memory is separate layer via `memory:` frontmatter (user/project/local scopes → ~/.claude/agent-memory/, .claude/agent-memory/, .claude/agent-memory-local/). KB card should document all 3 subagent scopes + MEMORY.md index pattern + autoMemoryDirectory setting override + CC v2.1.59+ requirement. → RESOLVED: KB card authored: knowledge/operational-patterns/state-management/cc-memory-layer-alignment.md (158 lines, under 300-line ceiling). Covers 2-system main-agent model + subagent memory: field spec + CAB per-agent adoption matrix + anti-patterns.",,,notes/TODO.md:80; LL-25; filesystem-patterns.md,H,M,DP3;LL-25,,,,KB,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-022-trio,7db3a2a,resolved
UXL-024,1,2026-04-22,orchestrator,integration,hooks,requirements,bug,MINOR,LL-26 — backtick-wrapped marker exclusion in pre-push hook regex,"**LL-26 follow-on: Backtick-wrapped marker exclusion** — Current anchored regex still matches draft labels inside markdown code spans (e.g., documentation files discussing the markers trigger the hook). POSIX ERE lacks negative lookbehind; options: (a) second-pass `grep -v` filter for backtick-wrapped matches, (b) documentation opt-out marker, (c) awk-based pre-filter. Low priority — primary LL-26 failure mode (stale status lines) is cleanly handled.","Low priority — primary LL-26 failure mode handled. Three mitigation options; pick simplest (option (a) grep -v post-filter). → RESOLVED: Second-pass grep-v filter added per option (a) triage choice. Strips
backtick-wrapped markers before re-checking; keeps real markers, filters
doc references. Test simulation verified all 5 edge cases (keep/filter/
mixed). Commit 430fe64.",,,notes/TODO.md:68; LL-26; pre-push hook,L,L,DP7;LL-26,,,,hook,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-024,430fe64,resolved
UXL-031,1,2026-04-22,orchestrator,meta,conventions,requirements,drift,MAJOR,"Agent frontmatter valid-fields list drifted from current CC docs (memory, background, isolation, etc.)","CC docs refresh (2026-04-22) during Phase 5 acceptance-criteria verification surfaced drift in .claude/rules/component-standards.md. CAB previously listed only {name, description, tools, model, effort, skills} as valid agent frontmatter fields, and marked disallowedTools as 'not a valid CC field'. Current docs (https://code.claude.com/docs/en/sub-agents#supported-frontmatter-fields) list as valid: name, description, tools, disallowedTools, model, skills, effort, memory, background, isolation, color, initialPrompt, maxTurns, permissionMode, mcpServers, hooks. Plugin agents silently drop hooks/mcpServers/permissionMode. Rule updated in this same docs-refresh pass; this row captures the finding + source.","Rule updated in-session via .claude/rules/component-standards.md (see commit post Phase 5 closeout). New fields of strategic interest: `memory:` (enables subagent persistent memory — UXL-007/022/023), `isolation: worktree` (parallel-safe delegation), `background: true` (long-running agents). Templates/agents/ may need audit to adopt these new fields where beneficial — potential follow-on row.",,,https://code.claude.com/docs/en/sub-agents; https://code.claude.com/docs/en/memory; diff .claude/rules/component-standards.md,H,L,DP3;DP8;LL-10;LL-11,,,,rule,,,resolved
UXL-032,1,2026-04-22,orchestrator,agentic,memory-layer,design,idea,MINOR,Audit CAB agents to adopt memory: frontmatter field where cross-session learnings compound,"Audit existing CAB agents (agents/orchestrator.md, verifier.md, architecture-advisor.md, project-integrator.md + any others) for `memory:` field adoption. Per 2026-04-22 CC-docs refresh (UXL-031), subagent persistent memory is opt-in via `memory: user|project|local` frontmatter field. Agents that accumulate learnings across invocations (e.g., architecture-advisor gathering patterns, verifier collecting failure signatures) would benefit from `memory: project` for version-controlled team shareability. Per-agent scope decision needed: which agents have cross-session-valuable learnings vs stateless-per-invocation (most orchestrators). Deliverable: per-agent decision table + frontmatter updates + verification that MEMORY.md auto-injection works.","DEFERRED (coupled with UXL-022). Execute after UXL-022 authors the canonical CC Memory Layer Alignment KB card — spec-first prevents per-agent scope drift. Candidate adoption signals: (a) architecture-advisor → project (accumulates arch decisions across sessions); (b) verifier → project (failure signatures); (c) orchestrator → likely NONE (stateless-per-invocation by design; state lives in notes/); (d) project-integrator → user (cross-project integration patterns). Per-agent decision requires evidence of cross-session-valuable learnings — default to no-memory if unclear. → RESOLVED: Applied memory: to 3 CAB agents — architecture-advisor (project), verifier (project), project-integrator (user). Orchestrator SKIPPED per KB card anti-pattern rationale (stateless-per-invocation by design; state lives in notes/*.md).",,,UXL-031 docs refresh; UXL-022 upcoming spec; agents/*.md (4 files),M,M,DP2;DP3;LL-10,,,,followup,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-022-trio,600d9ba,resolved
UXL-033,1,2026-04-22,orchestrator,meta,state-management,design,idea,MINOR,CSV tracker ergonomics: helper script extraction + active-top sort (U-curve),"CSV tracker ergonomics enhancement — two coupled improvements surfaced during Session 35 Phase 5 UXL execution retrospective (2026-04-22): (a) extract reusable helper script hooks/scripts/uxl-update.py exposing resolve / set / enrich / sort / show subcommands to reduce per-resolution Python-script boilerplate by ~30-40%; (b) apply U-curve attention principle to the tracker itself by sorting rows active-top (open > triaged > planning > in-progress > deferred > superseded > wontfix > resolved) so intra-session CSV reads spend high-attention zone on active work. Aligns directly with DP2 recent elaboration (line 70) on skills housing deterministic utility scripts alongside agentic NL instructions. Git-diff noise per status change is accepted cost for attention benefit. When UXL-034 (state-mgmt-capture skill) lands, this helper becomes a candidate for DP2-aligned skill wrap at skills/ux-log-state-machine/scripts/.","L-effort groundwork executed inline before prioritization pass (Option A from proposed next moves). Dogfood test: uses the new helper to resolve its own creation row, validating round-trip before broader adoption. Helper provides CLI surface (resolve/set/enrich/sort/show) + stdin note input for verbatim fidelity preservation. Save: ~250-400 tokens per future resolution. → RESOLVED: Helper script shipped at hooks/scripts/uxl-update.py (resolve/set/enrich/sort/show commands). Active-top sort applied to CSV. Dogfood test: resolving UXL-033 via its own CLI (this invocation) validates the round-trip pattern before adoption on remaining rows. Commit 008f90e. Expected per-resolution savings: ~30-40% tokens. Helper stays at hooks/scripts/ per convention; UXL-034 skill absorb is the DP2-aligned downstream evolution.",,,Session 35 retrospective; DP2 line 70 update,M,L,DP1;DP2;DP3,,,,hook,notes/impl-plan-ux-log-tracker-2026-04-22.md#uxl-033,008f90e,resolved
UXL-039,1,2026-04-24,orchestrator,agentic,subagent-delegation,requirements,drift,MAJOR,Remove `effort: high` from 5 CAB skills — prevent Max-user silent effort downgrade,"UXL-002 Phase 1 findings (2026-04-24 CC-docs verification): 5 CAB skills (analyze-architecture, audit-workspace, execute-task, plan-implementation, scaffold-project) set `effort: high` in frontmatter. Per current CC docs (model-config page), Max subscription users on Opus 4.7 default to `xhigh` effort; skill frontmatter `effort:` overrides session level while skill is active. Net effect: Max users get SILENTLY DOWNGRADED from xhigh to high when any of these 5 skills fires — invisible UX quality regression. User directive 2026-04-24: remove `effort:` from these skills to let subscription-tier default drive (xhigh for Max, high for Pro). Override only when a specific reason to floor effort exists (none articulated for the 5 skills).",Scope: remove `effort: high` line from each of the 5 SKILL.md frontmatters. Net delta: no user-facing trigger change; user's configured effort drives instead of hard-coded `high`. Max users recover xhigh default; Pro users still get high (unchanged). Also updates component-standards.md to document the new CAB convention (UXL-040 couples). Phase 3a deliverable per user directive 2026-04-24. → RESOLVED: Removed effort:high from 5 skills per user directive 2026-04-24 Q1. Max users on Opus 4.7 now receive their xhigh default when these skills fire (recovered from silent downgrade to high). Pro users unaffected. Commit fdfea25. Couples UXL-040 (rule refresh).,,,https://code.claude.com/docs/en/model-config#adjust-effort-level; 5 skills SKILL.md frontmatter,H,L,DP1;DP5;DP9;LL-16,,,M,skill,notes/impl-plan-commands-skills-migration-2026-04-24.md#phase-3a,fdfea25,resolved
UXL-040,1,2026-04-24,orchestrator,meta,rules,requirements,drift,MAJOR,"Refresh component-standards.md skill frontmatter rule — 250→1,536 char cap + new valid fields (LL-16 refresh)","UXL-002 Phase 1 findings (2026-04-24 CC-docs verification): .claude/rules/component-standards.md §Skill Frontmatter enforces 'Descriptions MUST be ≤250 characters' (LL-16 origin). Current CC docs (skills page, frontmatter-reference section) state: 'the combined description and when_to_use text is truncated at 1,536 characters in the skill listing to reduce context usage.' CAB rule is ~6x stale. Also missing newer valid fields: when_to_use, arguments, disable-model-invocation, user-invocable, paths, shell. Mirrors UXL-031 pattern (agent frontmatter drift). Refresh rule + add CAB convention note on `effort:` omission (couples to UXL-039).","Scope: edit .claude/rules/component-standards.md §Skill Frontmatter to reflect current CC spec. Apply in same commit as UXL-039 since the two couple (effort omission convention belongs in the rule). Phase 3a deliverable. → RESOLVED: Refreshed component-standards.md skill frontmatter rule: 250-char cap â†’ 1,536; full valid-fields list aligned with current CC docs; effort CAB convention documented (omit by default). Pattern parallel to UXL-031 agent frontmatter refresh. Commit fdfea25.",,,https://code.claude.com/docs/en/skills#frontmatter-reference; .claude/rules/component-standards.md,H,L,DP3;LL-10;LL-11;LL-16,,,M,rule,notes/impl-plan-commands-skills-migration-2026-04-24.md#phase-3a,fdfea25,resolved
